Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
GSEDS-1_Primary_Demand,Small Office,Helena,1,0 kWh,0 kW,16684,58443,$5K,$7.90,$0M,8 kW,1295.5,7468.3
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Medium Office,Anaheim,1,152 kWh,49 kW,578728,621840,$237K,$38.02,$0M,320 kW,242222,320049
SC-9_-_General_Large_Low_Tension_Service_[NYC],Secondary School,New York,1,0 kWh,0 kW,0,3122940,$428K,$21.82,$0M,778 kW,0,961570
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Retail Store,Anaheim,1,64 kWh,19 kW,273816,368391,$119K,$30.87,$0M,171 kW,96927,194027
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Small Office,San Francisco,1,8 kWh,3 kW,27798.1,99276,$20K,$16.78,$0M,30 kW,9412.6,45478
Small_General_Service_Metered_(A10),Medium Office,Duluth,1,0 kWh,0 kW,0,963979,$112K,$0.00,$0M,204 kW,0,216713
GSEDS-1_Secondary_Demand,Supermarket,Helena,1,0 kWh,0 kW,354997,1396190,$230K,$9.41,$0M,419 kW,36174,401997
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Small Office,Atlanta,1,0 kWh,0 kW,0,69285.7,$0K,$0.00,$0M,0 kW,0,-3
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Medium Office,New York,1,145 kWh,44 kW,768283,801240,$243K,$41.95,$0M,339 kW,266140,314121
GSEDS-1_Secondary_Non-Demand,Outpatient,Helena,1,0 kWh,0 kW,0,1634090,$225K,$0.00,$0M,409 kW,0,530200
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Large Hotel,Anaheim,1,165 kWh,61 kW,820360,1938470,$335K,$16.23,$0M,478 kW,102678,677060
GS-2_(S)_Large_General_Service_Secondary,Large Hotel,Fairbanks,1,11 kWh,9 kW,506617,3511270,$259K,$11.06,$0M,456 kW,14211,639630
GS-2_(S)_Large_General_Service_Secondary,Warehouse,Fairbanks,1,4 kWh,1 kW,80198.2,458799,$57K,$11.06,$0M,101 kW,6757.3,126303
Schedule_MDB-_Medium_Standard_General_Service_Burien,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,129851,$0K,$2.32,$0M,0 kW,0,0
Schedule_G_-_Secondary,Medium Office,Baltimore,1,0 kWh,0 kW,0,1030440,$143K,$0.00,$0M,260 kW,0,316251
GSEDS-1_Primary_Demand,Large Hotel,Helena,1,0 kWh,0 kW,381244,1558860,$142K,$7.90,$0M,258 kW,1021,244200
General_Service_(A14),Outpatient,Duluth,1,0 kWh,0 kW,398661,812167,$2K,$14.98,$0M,3 kW,754,1853
LGS-1_-_Large_General_Service,Large Office,LasVegas,1,0 kWh,0 kW,1443400,3637550,$487K,$8.57,$0M,886 kW,136330,773580
E-36_Standard_Price_Plan_for_General_Service,Large Office,Phoenix,1,0 kWh,0 kW,852223,4331260,$575K,$6.76,$0M,"1,045 kW",90947,1005940
BES-Small_Load_Delivery_Class_(Secondary),Medium Office,Chicago,1,0 kWh,0 kW,181991,592769,$0K,$6.18,$0M,0 kW,0,0
4B_Large_Power_TOU_(PNM-Owned_Transformer),Hospital,Albuquerque,1,64 kWh,51 kW,1548470,3880950,$720K,$17.47,$0M,"1,227 kW",241610,1050810
